data,dia_semana
2020-01-01,Quarta-Feira
2020-01-02,Quinta-Feira
2020-01-03,Sexta-Feira
2020-01-04,Sábado
2020-01-05,Domingo
2020-01-06,Segunda-Feira
2020-01-07,Terça-Feira
2020-01-08,Quarta-Feira
2020-01-09,Quinta-Feira
2020-01-10,Sexta-Feira
2020-01-11,Sábado
2020-01-12,Domingo
2020-01-13,Segunda-Feira
2020-01-14,Terça-Feira
2020-01-15,Quarta-Feira
2020-01-16,Quinta-Feira
2020-01-17,Sexta-Feira
2020-01-18,Sábado
2020-01-19,Domingo
2020-01-20,Segunda-Feira
2020-01-21,Terça-Feira
2020-01-22,Quarta-Feira
2020-01-23,Quinta-Feira
2020-01-24,Sexta-Feira
2020-01-25,Sábado
2020-01-26,Domingo
2020-01-27,Segunda-Feira
2020-01-28,Terça-Feira
2020-01-29,Quarta-Feira
2020-01-30,Quinta-Feira
2020-01-31,Sexta-Feira
2020-02-01,Sábado
2020-02-02,Domingo
2020-02-03,Segunda-Feira
2020-02-04,Terça-Feira
2020-02-05,Quarta-Feira
2020-02-06,Quinta-Feira
2020-02-07,Sexta-Feira
2020-02-08,Sábado
2020-02-09,Domingo
2020-02-10,Segunda-Feira
2020-02-11,Terça-Feira
2020-02-12,Quarta-Feira
2020-02-13,Quinta-Feira
2020-02-14,Sexta-Feira
2020-02-15,Sábado
2020-02-16,Domingo
2020-02-17,Segunda-Feira
2020-02-18,Terça-Feira
2020-02-19,Quarta-Feira
2020-02-20,Quinta-Feira
2020-02-21,Sexta-Feira
2020-02-22,Sábado
2020-02-23,Domingo
2020-02-24,Segunda-Feira
2020-02-25,Terça-Feira
2020-02-26,Quarta-Feira
2020-02-27,Quinta-Feira
2020-02-28,Sexta-Feira
2020-02-29,Sábado
2020-03-01,Domingo
2020-03-02,Segunda-Feira
2020-03-03,Terça-Feira
2020-03-04,Quarta-Feira
2020-03-05,Quinta-Feira
2020-03-06,Sexta-Feira
2020-03-07,Sábado
2020-03-08,Domingo
2020-03-09,Segunda-Feira
2020-03-10,Terça-Feira
2020-03-11,Quarta-Feira
2020-03-12,Quinta-Feira
2020-03-13,Sexta-Feira
2020-03-14,Sábado
2020-03-15,Domingo
2020-03-16,Segunda-Feira
2020-03-17,Terça-Feira
2020-03-18,Quarta-Feira
2020-03-19,Quinta-Feira
2020-03-20,Sexta-Feira
2020-03-21,Sábado
2020-03-22,Domingo
2020-03-23,Segunda-Feira
2020-03-24,Terça-Feira
2020-03-25,Quarta-Feira
2020-03-26,Quinta-Feira
2020-03-27,Sexta-Feira
2020-03-28,Sábado
2020-03-29,Domingo
2020-03-30,Segunda-Feira
2020-03-31,Terça-Feira
2020-04-01,Quarta-Feira
2020-04-02,Quinta-Feira
2020-04-03,Sexta-Feira
2020-04-04,Sábado
2020-04-05,Domingo
2020-04-06,Segunda-Feira
2020-04-07,Terça-Feira
2020-04-08,Quarta-Feira
2020-04-09,Quinta-Feira
2020-04-10,Sexta-Feira
2020-04-11,Sábado
2020-04-12,Domingo
2020-04-13,Segunda-Feira
2020-04-14,Terça-Feira
2020-04-15,Quarta-Feira
2020-04-16,Quinta-Feira
2020-04-17,Sexta-Feira
2020-04-18,Sábado
2020-04-19,Domingo
2020-04-20,Segunda-Feira
2020-04-21,Terça-Feira
2020-04-22,Quarta-Feira
2020-04-23,Quinta-Feira
2020-04-24,Sexta-Feira
2020-04-25,Sábado
2020-04-26,Domingo
2020-04-27,Segunda-Feira
2020-04-28,Terça-Feira
2020-04-29,Quarta-Feira
2020-04-30,Quinta-Feira
2020-05-01,Sexta-Feira
2020-05-02,Sábado
2020-05-03,Domingo
2020-05-04,Segunda-Feira
2020-05-05,Terça-Feira
2020-05-06,Quarta-Feira
2020-05-07,Quinta-Feira
2020-05-08,Sexta-Feira
2020-05-09,Sábado
2020-05-10,Domingo
2020-05-11,Segunda-Feira
2020-05-12,Terça-Feira
2020-05-13,Quarta-Feira
2020-05-14,Quinta-Feira
2020-05-15,Sexta-Feira
2020-05-16,Sábado
2020-05-17,Domingo
2020-05-18,Segunda-Feira
2020-05-19,Terça-Feira
2020-05-20,Quarta-Feira
2020-05-21,Quinta-Feira
2020-05-22,Sexta-Feira
2020-05-23,Sábado
2020-05-24,Domingo
2020-05-25,Segunda-Feira
2020-05-26,Terça-Feira
2020-05-27,Quarta-Feira
2020-05-28,Quinta-Feira
2020-05-29,Sexta-Feira
2020-05-30,Sábado
2020-05-31,Domingo
2020-06-01,Segunda-Feira
2020-06-02,Terça-Feira
2020-06-03,Quarta-Feira
2020-06-04,Quinta-Feira
2020-06-05,Sexta-Feira
2020-06-06,Sábado
2020-06-07,Domingo
2020-06-08,Segunda-Feira
2020-06-09,Terça-Feira
2020-06-10,Quarta-Feira
2020-06-11,Quinta-Feira
2020-06-12,Sexta-Feira
2020-06-13,Sábado
2020-06-14,Domingo
2020-06-15,Segunda-Feira
2020-06-16,Terça-Feira
2020-06-17,Quarta-Feira
2020-06-18,Quinta-Feira
2020-06-19,Sexta-Feira
2020-06-20,Sábado
2020-06-21,Domingo
2020-06-22,Segunda-Feira
2020-06-23,Terça-Feira
2020-06-24,Quarta-Feira
2020-06-25,Quinta-Feira
2020-06-26,Sexta-Feira
2020-06-27,Sábado
2020-06-28,Domingo
2020-06-29,Segunda-Feira
2020-06-30,Terça-Feira
2020-07-01,Quarta-Feira
2020-07-02,Quinta-Feira
2020-07-03,Sexta-Feira
2020-07-04,Sábado
2020-07-05,Domingo
2020-07-06,Segunda-Feira
2020-07-07,Terça-Feira
2020-07-08,Quarta-Feira
2020-07-09,Quinta-Feira
2020-07-10,Sexta-Feira
2020-07-11,Sábado
2020-07-12,Domingo
2020-07-13,Segunda-Feira
2020-07-14,Terça-Feira
2020-07-15,Quarta-Feira
2020-07-16,Quinta-Feira
2020-07-17,Sexta-Feira
2020-07-18,Sábado
2020-07-19,Domingo
2020-07-20,Segunda-Feira
2020-07-21,Terça-Feira
2020-07-22,Quarta-Feira
2020-07-23,Quinta-Feira
2020-07-24,Sexta-Feira
2020-07-25,Sábado
2020-07-26,Domingo
2020-07-27,Segunda-Feira
2020-07-28,Terça-Feira
2020-07-29,Quarta-Feira
2020-07-30,Quinta-Feira
2020-07-31,Sexta-Feira
2020-08-01,Sábado
2020-08-02,Domingo
2020-08-03,Segunda-Feira
2020-08-04,Terça-Feira
2020-08-05,Quarta-Feira
2020-08-06,Quinta-Feira
2020-08-07,Sexta-Feira
2020-08-08,Sábado
2020-08-09,Domingo
2020-08-10,Segunda-Feira
2020-08-11,Terça-Feira
2020-08-12,Quarta-Feira
2020-08-13,Quinta-Feira
2020-08-14,Sexta-Feira
2020-08-15,Sábado
2020-08-16,Domingo
2020-08-17,Segunda-Feira
2020-08-18,Terça-Feira
2020-08-19,Quarta-Feira
2020-08-20,Quinta-Feira
2020-08-21,Sexta-Feira
2020-08-22,Sábado
2020-08-23,Domingo
2020-08-24,Segunda-Feira
2020-08-25,Terça-Feira
2020-08-26,Quarta-Feira
2020-08-27,Quinta-Feira
2020-08-28,Sexta-Feira
2020-08-29,Sábado
2020-08-30,Domingo
2020-08-31,Segunda-Feira
2020-09-01,Terça-Feira
2020-09-02,Quarta-Feira
2020-09-03,Quinta-Feira
2020-09-04,Sexta-Feira
2020-09-05,Sábado
2020-09-06,Domingo
2020-09-07,Segunda-Feira
2020-09-08,Terça-Feira
2020-09-09,Quarta-Feira
2020-09-10,Quinta-Feira
2020-09-11,Sexta-Feira
2020-09-12,Sábado
2020-09-13,Domingo
2020-09-14,Segunda-Feira
2020-09-15,Terça-Feira
2020-09-16,Quarta-Feira
2020-09-17,Quinta-Feira
2020-09-18,Sexta-Feira
2020-09-19,Sábado
2020-09-20,Domingo
2020-09-21,Segunda-Feira
2020-09-22,Terça-Feira
2020-09-23,Quarta-Feira
2020-09-24,Quinta-Feira
2020-09-25,Sexta-Feira
2020-09-26,Sábado
2020-09-27,Domingo
2020-09-28,Segunda-Feira
2020-09-29,Terça-Feira
2020-09-30,Quarta-Feira
2020-10-01,Quinta-Feira
2020-10-02,Sexta-Feira
2020-10-03,Sábado
2020-10-04,Domingo
2020-10-05,Segunda-Feira
2020-10-06,Terça-Feira
2020-10-07,Quarta-Feira
2020-10-08,Quinta-Feira
2020-10-09,Sexta-Feira
2020-10-10,Sábado
2020-10-11,Domingo
2020-10-12,Segunda-Feira
2020-10-13,Terça-Feira
2020-10-14,Quarta-Feira
2020-10-15,Quinta-Feira
2020-10-16,Sexta-Feira
2020-10-17,Sábado
2020-10-18,Domingo
2020-10-19,Segunda-Feira
2020-10-20,Terça-Feira
2020-10-21,Quarta-Feira
2020-10-22,Quinta-Feira
2020-10-23,Sexta-Feira
